"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"2-hydroxyglutaric acid","D-2-Hydroxyglutaric acid","HMDB0000606","439391","C01087","O[C@H](CCC(O)=O)C(O)=O","1"
"conduritol-beta-epoxide","NA","NA","NA","NA","NA","0"
"ononitol","D-4-O-Methyl-myo-inositol","HMDB0029915",NA,"C06353","CO[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O","1"
"ciliatine","Ciliatine","HMDB0011747","339","C03557","NCCP(O)(O)=O","1"
"glycine","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"levoglucosan","Levoglucosan","HMDB0000640","2724705",NA,"[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O","1"
"pinitol","D-Pinitol","HMDB0034219","0","C03844","CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O","1"
"6-deoxygalactofuranose","NA","NA","NA","NA","NA","0"
"1,5-anhydroglucitol","1,5-Anhydrosorbitol","HMDB0002712","64960","C07326","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","C00872","NC(C(O)=O)C(O)=O","1"
"alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@H](N)C(O)=O","1"
"glycerol-alpha-phosphate","Glycerophosphoric acid","HMDB0252849","754","C03189","OCC(O)COP(O)(O)=O","1"
"cadaverine","Cadaverine","HMDB0002322","273","C01672","NCCCCCN","1"
"dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","440667","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"glutathione","Glutathione","HMDB0000125","124886","C00051","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","1"
"homoserine","L-Homoserine","HMDB0000719","12647","C00263","N[C@@H](CCO)C(O)=O","1"
"glucose","D-Glucose","HMDB0000122","5793","C00031","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"oxoproline","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"2,5-dihydroxypyrazine","NA","NA","NA","NA","NA","0"
"sorbitol","Sorbitol","HMDB0000247","5780","C00794","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"N-acetylmannosamine","N-Acetylmannosamine","HMDB0001129","11096158","C00645","CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"6-Oxopiperidine-2-carboxylic acid","6-Oxopiperidine-2-carboxylic acid","HMDB0061705","3014237",NA,"OC(=O)C1CCCC(O)=N1","1"
"phosphogluconic acid","6-Phosphogluconic acid","HMDB0001316","91493","C00345","O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
