PC	metabolite	loading	cum_var	PubChem	KEGG
1	2-hydroxyglutaric acid	0.188937042040839	0.0356972058551417	43	C02630
1	conduritol-beta-epoxide	0.185989549039763	0.070289318207156	9989541	
1	ononitol	0.181414661741734	0.103200597702024	230881	
1	ciliatine	-0.16764141066119	0.131304240270497	339	C03557
1	glycine	-0.164725913427647	0.15843886682507	750	C00037
1	levoglucosan	0.163376664808146	0.185130801428903	2724705	C22350
1	pinitol	0.159426341628422	0.210547559833926	164619	
1	6-deoxygalactofuranose 	-0.154822196414843	0.234517472336642	11953811	C02431
1	1,5-anhydroglucitol	0.152321760085195	0.257719390932093	64960	C07326
1	aminomalonic acid	-0.149424928935014	0.280047200319327	100714	C00872
1	alanine	-0.146096178487861	0.301391293688084	5950	C00041
1	glycerol-alpha-phosphate	-0.141959166250867	0.321543698570725	754	C03189
1	cadaverine	0.139598294455008	0.341031382385473	273	
1	dehydroascorbic acid	0.137095429276327	0.359826539113933	440667	C05422
1	glutathione	0.133223816182348	0.377575124312121	124886	C00051
1	homoserine	0.121956245364825	0.392448450095606	12647	C00263
1	glucose	0.121694093057408	0.407257902380671	64689	C00221
1	oxoproline	0.116660514395145	0.420867577999611	7405	C01879
1	2,5-dihydroxypyrazine 	0.116397253956122	0.434415898728137	23368901	
1	sorbitol	0.115199674142394	0.447686863650651	5780	C00794
1	N-acetylmannosamine	0.110688431722201	0.459938792567771	11096158	
1	6-Oxopiperidine-2-carboxylic acid 	-0.110628701259013	0.472177502110027	3014237	
1	phosphogluconic acid	0.110421674277308	0.484370448260231	91493	C00345
1	proline	0.107571638367532	0.495942105641306	145742	C00148
