PC,metabolite,loading,low,high
1,(5E)-isovitamin D3,0.0552799059467907,-0.00799367291386859,0.0976566624666232
1,1,5-anhydroglucitol,0.152321760085195,0.101267916000482,0.166908262207512
1,1-monopalmitin,0.0553256831546165,0.0176640679189375,0.104404924817286
1,1-monostearin,0.00721159793637175,-0.0313946921567611,0.0599874076958741
1,2,3-dihydroxypyridine,0.0830650209799042,0.0179045607015011,0.118528266803018
1,2,4-diaminobutyric acid,0.0667269318289209,0.0239443571669078,0.105647785340227
1,2,5-dihydroxypyrazine ,0.116397253956122,0.0725855185618553,0.140043955182499
1,2-aminobutyric acid,0.0025959599162914,-0.0566971045837664,0.0594806736563631
1,2-hydroxyglutaric acid,0.188937042040839,0.128300780217725,0.190213285749842
1,2-ketoisocaproic acid,0.1070785570852,0.0506846841258605,0.136848402561118
1,2-picolinic acid,0.073646139145502,0.0189381287603967,0.12086360849888
1,3-Amino-2-piperidone ,-0.0765626669697538,-0.109580050177791,-0.0330674637852237
1,3-aminoisobutyric acid,-0.00982283091201277,-0.0455472314316036,0.0883302916010165
1,3-phosphoglycerate,0.0629094358014694,0.0189516853915357,0.10209922309418
1,4-hydroxymandelic acid,0.100834216168632,0.0445745444857608,0.128125796085375
1,5-hydroxynorvaline ,-0.0823706018756355,-0.117890642873018,-0.0218291872466872
1,5-methoxytryptamine,0.00490184860932051,-0.0617572950417689,0.0411148035140885
1,6-Oxopiperidine-2-carboxylic acid ,-0.110628701259013,-0.148923206278632,-0.0352983234081219
1,6-deoxygalactofuranose ,-0.154822196414843,-0.175323671945528,-0.0839234194872519
1,N-acetylmannosamine,0.110688431722201,0.0606510481084773,0.144968313469283
1,N-alpha-acetyllysine ,0.0767947980994723,0.0114969730570531,0.113559084897919
1,N-methyl-UMP,0.036192124745342,-0.0281606937646244,0.101330273712767
1,UDP-N-acetylglucosamine,0.102717477419366,0.0659104873892907,0.130605440941166
1,adenine,0.0020415341276609,-0.0548663114412715,0.0619521002176685
1,adenosine,0.0126231217171913,-0.0439395946463913,0.0801643483186388
1,adenosine-5-monophosphate,0.0270932419960167,-0.0410971096010404,0.086631520774843
1,adipic acid,0.0271151550845498,-0.031141877087406,0.0860039939806874
1,agmatine,0.0769841925218785,0.0115058507843667,0.130305026890894
1,alanine,-0.146096178487861,-0.183261454587609,-0.08097748799426
1,alanine-alanine,-0.058333764343647,-0.0938615230461986,0.00569308844053725
1,alpha-aminoadipic acid,0.012206998855623,-0.0249625575238383,0.0965323006007578
1,alpha-ketoglutarate,-0.00374502677078857,-0.0524690786792414,0.0559306649453683
1,aminomalonic acid,-0.149424928935014,-0.1630485033761,-0.102314061265988
1,arachidonic acid,-0.0483290408440056,-0.0821943904030806,0.0073474281739785
1,asparagine,-0.024527066092993,-0.0692079910397949,0.0586496998572597
1,aspartic acid,-0.0541484818679069,-0.0967412577376556,0.0243450857300143
1,azelaic acid,0.0302648166101258,-0.0284462389841463,0.0881126971068577
1,behenic acid,0.054830682269401,-0.00138378780076864,0.10359106883958
1,beta-alanine,0.0723491986378608,0.0120538262047123,0.114516331178414
1,beta-gentiobiose,0.00698409643194173,-0.0650163773129357,0.0782449095322932
1,beta-glutamic acid,-0.0706108187108689,-0.124829819314941,-0.0019703169844499
1,beta-glycerolphosphate,-0.07124770861581,-0.103905833188449,-0.0293618630707266
1,beta-sitosterol,0.0898689904416535,0.0247374026450948,0.127888306154679
1,bisphosphoglycerol ,-0.0126317195462595,-0.0621637457834756,0.0513259711949189
1,butyrolactam ,0.0797050814065877,0.0312202928999102,0.123001508690858
1,cadaverine,0.139598294455008,0.0861397721784202,0.154199433090947
1,campesterol ,0.0940680697309022,0.0190842464069119,0.133019316333237
1,capric acid,-0.0472661258797553,-0.111078419121597,0.0412859994584817
1,cholesterol,0.0532662427120988,0.0118094215243019,0.11618101721557
1,ciliatine,-0.16764141066119,-0.176932741968231,-0.113130675923868
1,citric acid,0.105647338569881,0.0679704030139387,0.144944969829028
1,citrulline,-0.107420510155736,-0.150788577536994,-0.0593350462806773
1,conduritol-beta-epoxide,0.185989549039763,0.143975004642531,0.193573692479087
1,creatinine,0.0983505422422629,0.0536226885993058,0.130534661779164
1,cyanoalanine,-0.0174112447424277,-0.0641820465876443,0.0581581453811415
1,cysteine,0.0391293095517096,-0.00960329270275753,0.0874615426935258
1,cystine,-0.0103322633079451,-0.063035784592303,0.0379269021681242
1,cytidine-5-monophosphate,0.0635415518383216,0.0079496436999181,0.108700704400845
1,cytosine,0.0659383372578558,0.0200608665392177,0.120097707171841
1,dehydroascorbic acid,0.137095429276327,0.0953864670129735,0.154395680318286
