PC	metabolite	loading	cum_var	PubChem	KEGG
3	glycerol-alpha-phosphate	0.224239386667878	0.0502833025331863	754	C03189
3	urea	0.15744594383784	0.0750725277641747	1176	C00086
3	proline	-0.155616421888345	0.099288998525506	145742	C00148
3	ethanolamine	0.154475506738743	0.123151680707697	700	C00189
3	aminomalonic acid	0.140275620715459	0.142828930474805	100714	C00872
3	5-hydroxynorvaline 	0.139688996652397	0.162341946260558	95562	
3	6-Oxopiperidine-2-carboxylic acid 	0.133114398237947	0.180061389278809	3014237	
3	tocopherol alpha-	0.132977401813629	0.197744378671912	14985	C02477
3	succinic acid	0.132211509734449	0.215224261978174	1110	C00042
3	methanolphosphate	0.129797338368005	0.232071611025593	13130	
3	3-phosphoglycerate	-0.129600207749634	0.248867824874341	724	C00597
3	phosphoglycolic acid	0.128718862415346	0.265436370415842	529	C00988
3	glycine	0.128225555731553	0.281878163558508	750	C00037
3	trehalose-6-phosphate	-0.124802564818099	0.297453843743683	122336	C00689
3	capric acid	0.121026332728628	0.312101216957424	2969	C01571
3	maleimide	0.119700574044347	0.32642944438397	10935	C07272
3	methylmaleic acid	0.117076031299755	0.340136241488872	643798	C02226
3	oxamic acid	0.114349061613473	0.353211949380753	974	C01444
3	methionine sulfoxide	-0.114112586683924	0.366233631820449	158980	C02989
3	raffinose	0.113989615048178	0.379227264159281	439242	C00492
3	terephthalic acid	-0.11286192449503	0.391965078160003	22416364	C06337
3	arachidonic acid	0.112251135949966	0.404565395682061	444899	C00219
3	ethanol phosphate 	0.111746884200312	0.417052761810539	74190	
3	1,5-anhydroglucitol	-0.111582063884738	0.429503318791317	64960	C07326
3	dehydroascorbic acid	-0.111009867664103	0.441826509510118	440667	C05422
3	lactose 	0.110271568605177	0.453986328352764	440995	C00243
3	glycolic acid	0.109735649171028	0.466028241051751	757	C00160
3	citric acid	-0.107987814864797	0.477689609211025	311	C00158
3	phenol 	0.107776933281703	0.489305476558634	NA	
