"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"1,5-anhydroglucitol","1,5-Anhydrosorbitol","HMDB0002712","64960","C07326","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"2,3-dihydroxypyridine","NA","NA","NA","NA","NA","0"
"2,5-dihydroxypyrazine","NA","NA","NA","NA","NA","0"
"2-hydroxyglutaric acid","D-2-Hydroxyglutaric acid","HMDB0000606","439391","C01087","O[C@H](CCC(O)=O)C(O)=O","1"
"4-hydroxymandelic acid","p-Hydroxymandelic acid","HMDB0000822","328","C03198","OC(C(O)=O)C1=CC=C(O)C=C1","1"
"alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@H](N)C(O)=O","1"
"campesterol","Campesterol","HMDB0002869","173183","C01789","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C","1"
"conduritol-beta-epoxide","NA","NA","NA","NA","NA","0"
"cysteine","L-Cysteine","HMDB0000574","5862","C00097","N[C@@H](CS)C(O)=O","1"
"gluconic acid lactone","Gluconolactone","HMDB0000150","7027","C00198","OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"glutathione","Glutathione","HMDB0000125","124886","C00051","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","1"
"glycine","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"homoserine","L-Homoserine","HMDB0000719","12647","C00263","N[C@@H](CCO)C(O)=O","1"
"ketoisoleucine","NA","NA","NA","NA","NA","0"
"lactic acid","Lactic acid","HMDB0000190","107689","C00186","C[C@H](O)C(O)=O","1"
"lactose","Alpha-Lactose","HMDB0000186","84571","C00243","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O","1"
"maltose","D-Maltose","HMDB0000163","10991489","C00208","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"maltotriose","Maltotriose","HMDB0001262","439586","C01835","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"melezitose","Melezitose","HMDB0011730","92817","C08243","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O","1"
"n-epsilon-trimethyllysine","NA","NA","NA","NA","NA","0"
"ononitol","D-4-O-Methyl-myo-inositol","HMDB0029915",NA,"C06353","CO[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O","1"
"oxoproline","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"panose","Panose","HMDB0029937","4120027","C00713","OCC1OC(OCC2OC(OC3C(O)C(O)C(O)OC3CO)C(O)C(O)C2O)C(O)C(O)C1O","1"
"phenol","Phenol","HMDB0000228","996","C00146","OC1=CC=CC=C1","1"
"pinitol","D-Pinitol","HMDB0034219","0","C03844","CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O","1"
"sucrose","Sucrose","HMDB0000258","5988","C00089","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
