"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"2,5-dihydroxypyrazine","NA","NA","NA","NA","NA","0"
"2-hydroxyglutaric acid","D-2-Hydroxyglutaric acid","HMDB0000606","439391","C01087","O[C@H](CCC(O)=O)C(O)=O","1"
"3-phosphoglycerate","3-Phosphoglyceric acid","HMDB0000807","724","C00597","OC(COP(O)(O)=O)C(O)=O","1"
"6-deoxygalactofuranose","NA","NA","NA","NA","NA","0"
"UDP-N-acetylglucosamine","Uridine diphosphate-N-acetylglucosamine","HMDB0000290","445675","C00043","CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"adenine","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"adenosine","Adenosine","HMDB0000050","60961","C00212","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"adenosine-5-monophosphate","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"alpha-ketoglutarate","Oxoglutaric acid","HMDB0000208","51","C00026","OC(=O)CCC(=O)C(O)=O","1"
"aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","C00872","NC(C(O)=O)C(O)=O","1"
"ciliatine","Ciliatine","HMDB0011747","339","C03557","NCCP(O)(O)=O","1"
"citrulline","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"cysteine","L-Cysteine","HMDB0000574","5862","C00097","N[C@@H](CS)C(O)=O","1"
"cytidine-5-monophosphate","Cytidine monophosphate","HMDB0000095","6131","C00055","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"cytosine","Cytosine","HMDB0000630","597","C00380","NC1=CC=NC(=O)N1","1"
"dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","440667","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"ethanolamine","Ethanolamine","HMDB0000149","700","C00189","NCCO","1"
"fructose","D-Fructose","HMDB0000660","439709","C00095","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"fructose-1-phosphate","3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid","HMDB0000399","10400369","C01094","[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)[C@@H](O)[C@]2([H])C[C@H](O)CC[C@]12C","1"
"fructose-6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","C00085","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"galactose-6-phosphate","D-Galactose 6-phosphate","METPA0131",NA,"C01113",NA,"1"
"glucose-1-phosphate","Glucose 1-phosphate","HMDB0001586","65533","C00103","OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"glucose-6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","C00092","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"glutathione","Glutathione","HMDB0000125","124886","C00051","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O","1"
"glycerol","Glycerol","HMDB0000131","753","C00116","OCC(O)CO","1"
"glycine","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"histidine","Histidine","HMDB0000177","6274","C00135","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"hypotaurine","Hypotaurine","HMDB0000965","107812","C00519","NCCS(O)=O","1"
"ketoisoleucine","NA","NA","NA","NA","NA","0"
"lactose","Alpha-Lactose","HMDB0000186","84571","C00243","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O","1"
"levoglucosan","Levoglucosan","HMDB0000640","2724705",NA,"[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O","1"
"lysine","Lysine","HMDB0000182","5962","C00047","NCCCC[C@H](N)C(O)=O","1"
"methanolphosphate","NA","NA","NA","NA","NA","0"
"nicotinamide","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"ornithine","Ornithine","HMDB0000214","6262","C00077","NCCC[C@H](N)C(O)=O","1"
"oxamic acid","NA","NA","NA","NA","NA","0"
"phosphate","Phosphate","HMDB0001429","1004","C00009","OP(O)(O)=O","1"
"pyrophosphate","Pyrophosphate","HMDB0000250","1023","C00013","OP(O)(=O)OP(O)(O)=O","1"
"saccharic acid","Glucaric acid","HMDB0000663","33037","C00818","O[C@@H]([C@H](O)[C@@H](O)C(O)=O)[C@H](O)C(O)=O","1"
"salicylic acid","Salicylic acid","HMDB0001895","338","C00805","OC(=O)C1=C(O)C=CC=C1","1"
"taurine","Taurine","HMDB0000251","1123","C00245","NCCS(O)(=O)=O","1"
"terephthalic acid","Terephthalic acid","HMDB0002428","7489","C06337","OC(=O)C1=CC=C(C=C1)C(O)=O","1"
"trehalose-6-phosphate","Trehalose 6-phosphate","HMDB0001124","122336","C00689","OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"uric acid","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
