"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Starch and sucrose metabolism",14,0.36911,5,1.4962e-05,4.825,0.001152,0.001152,0.36516
"Taurine and hypotaurine metabolism",7,0.18456,3,0.0005363,3.2706,0.040759,0.020647,0.6
"Glutathione metabolism",26,0.6855,4,0.0038823,2.4109,0.29117,0.075811,0.4221
"Arginine biosynthesis",13,0.34275,3,0.0039382,2.4047,0.29143,0.075811,0.14634
"Galactose metabolism",15,0.39548,3,0.0060466,2.2185,0.4414,0.093117,0.36667
"Fructose and mannose metabolism",16,0.42185,3,0.0073109,2.136,0.52639,0.093824,0.44262
"Amino sugar and nucleotide sugar metabolism",39,1.0282,4,0.016841,1.7736,1,0.18525,0.2699
"One carbon pool by folate",23,0.6064,3,0.020424,1.6899,1,0.19658,0.12705
"Purine metabolism",68,1.7928,4,0.098354,1.0072,1,0.84147,0.0868
"Phosphonate and phosphinate metabolism",5,0.13183,1,0.12528,0.90212,1,0.96466,0
"Glycolysis or Gluconeogenesis",26,0.6855,2,0.14779,0.83036,1,0.96827,0.06075
"Lipoic acid metabolism",27,0.71186,2,0.1571,0.80383,1,0.96827,0.00189
"Thiamine metabolism",7,0.18456,1,0.17103,0.76693,1,0.96827,0
"Glycine, serine and threonine metabolism",29,0.7646,2,0.17605,0.75437,1,0.96827,0.31258
"Ascorbate and aldarate metabolism",8,0.21092,1,0.19303,0.71437,1,0.97142,0
"Nicotinate and nicotinamide metabolism",9,0.23729,1,0.21447,0.66864,1,0.97142,0.0566
"Histidine metabolism",9,0.23729,1,0.21447,0.66864,1,0.97142,0.4
"Glycerolipid metabolism",12,0.31638,1,0.27554,0.55982,1,1,0.22545
"beta-Alanine metabolism",14,0.36911,1,0.31368,0.50352,1,1,0
"Butanoate metabolism",14,0.36911,1,0.31368,0.50352,1,1,0
"Pentose and glucuronate interconversions",17,0.44821,1,0.36728,0.435,1,1,0
"Pantothenate and CoA biosynthesis",20,0.52731,1,0.41684,0.38003,1,1,0
"Citrate cycle (TCA cycle)",20,0.52731,1,0.41684,0.38003,1,1,0.05856
"Pentose phosphate pathway",22,0.58004,1,0.44777,0.34894,1,1,0.12366
"Alanine, aspartate and glutamate metabolism",23,0.6064,1,0.46264,0.33476,1,1,0.06757
"Porphyrin metabolism",24,0.63277,1,0.47712,0.32137,1,1,0
"Glyoxylate and dicarboxylate metabolism",24,0.63277,1,0.47712,0.32137,1,1,0.09132
"Lysine degradation",26,0.6855,1,0.50496,0.29674,1,1,0
"Inositol phosphate metabolism",28,0.73823,1,0.53137,0.2746,1,1,0
"Arginine and proline metabolism",29,0.7646,1,0.54406,0.26435,1,1,0.20889
"Glycerophospholipid metabolism",32,0.84369,1,0.58018,0.23644,1,1,0.01653
"Cysteine and methionine metabolism",32,0.84369,1,0.58018,0.23644,1,1,0.0999
"Pyrimidine metabolism",40,1.0546,1,0.6635,0.17816,1,1,0.01446
