"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Arginine biosynthesis",13,0.17137,4,1.2682e-05,4.8968,0.00097651,0.00097651,0.21951
"Glutathione metabolism",26,0.34275,3,0.0039698,2.4012,0.30171,0.15284,0.02636
"One carbon pool by folate",23,0.3032,2,0.034869,1.4576,1,0.61904,0.00864
"Alanine, aspartate and glutamate metabolism",23,0.3032,2,0.034869,1.4576,1,0.61904,0.25
"Glycine, serine and threonine metabolism",29,0.3823,2,0.053486,1.2718,1,0.61904,0.03966
"Arginine and proline metabolism",29,0.3823,2,0.053486,1.2718,1,0.61904,0.35111
"Cysteine and methionine metabolism",32,0.42185,2,0.063887,1.1946,1,0.61904,0.20708
"Nitrogen metabolism",5,0.065913,1,0.064316,1.1917,1,0.61904,0
"Taurine and hypotaurine metabolism",7,0.092279,1,0.08895,1.0509,1,0.63394,0
"Thiamine metabolism",7,0.092279,1,0.08895,1.0509,1,0.63394,0
"Amino sugar and nucleotide sugar metabolism",39,0.51412,2,0.090563,1.0431,1,0.63394,0.00091
"Valine, leucine and isoleucine biosynthesis",8,0.10546,1,0.10104,0.99551,1,0.64834,0
"Nicotinate and nicotinamide metabolism",9,0.11864,1,0.11298,0.947,1,0.66919,0
"Glycerolipid metabolism",12,0.15819,1,0.14792,0.82996,1,0.81359,0.22545
"Butanoate metabolism",14,0.18456,1,0.17051,0.76826,1,0.87389,0
"Galactose metabolism",15,0.19774,1,0.18159,0.74092,1,0.87389,0.18
"Pantothenate and CoA biosynthesis",20,0.26365,1,0.23496,0.62901,1,1,0
"Citrate cycle (TCA cycle)",20,0.26365,1,0.23496,0.62901,1,1,0.05856
"Pyruvate metabolism",23,0.3032,1,0.26541,0.57608,1,1,0
"Glyoxylate and dicarboxylate metabolism",24,0.31638,1,0.27531,0.56018,1,1,0
"Glycolysis or Gluconeogenesis",26,0.34275,1,0.29474,0.53057,1,1,0
"Lipoic acid metabolism",27,0.35593,1,0.30427,0.51674,1,1,0
"Pyrimidine metabolism",40,0.52731,1,0.41776,0.37907,1,1,0
"Purine metabolism",68,0.89642,1,0.60636,0.21727,1,1,0
