"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Amino sugar and nucleotide sugar metabolism",39,0.4774,3,0.010154,1.9934,0.78186,0.38697,0.18207
"Starch and sucrose metabolism",14,0.17137,2,0.011593,1.9358,0.88104,0.38697,0.21405
"Fructose and mannose metabolism",16,0.19586,2,0.015077,1.8217,1,0.38697,0.26994
"Pentose phosphate pathway",22,0.2693,2,0.027842,1.5553,1,0.53596,0.12366
"Glutathione metabolism",26,0.31827,2,0.038104,1.419,1,0.58679,0.09226
"Phosphonate and phosphinate metabolism",5,0.061205,1,0.059835,1.223,1,0.76788,0
"Arginine biosynthesis",13,0.15913,1,0.14874,0.82758,1,1,0
"Galactose metabolism",15,0.18362,1,0.16971,0.77028,1,1,0.18
"Alanine, aspartate and glutamate metabolism",23,0.28154,1,0.24895,0.6039,1,1,0
"One carbon pool by folate",23,0.28154,1,0.24895,0.6039,1,1,0.12705
"Porphyrin metabolism",24,0.29379,1,0.25834,0.5878,1,1,0
"Glyoxylate and dicarboxylate metabolism",24,0.29379,1,0.25834,0.5878,1,1,0.09132
"Glycolysis or Gluconeogenesis",26,0.31827,1,0.27681,0.55781,1,1,0.06075
"Lipoic acid metabolism",27,0.33051,1,0.28589,0.54381,1,1,0.00189
"Inositol phosphate metabolism",28,0.34275,1,0.29486,0.53039,1,1,0
"Glycine, serine and threonine metabolism",29,0.35499,1,0.30372,0.51752,1,1,0.31258
"Pyrimidine metabolism",40,0.48964,1,0.39468,0.40375,1,1,0.07119
