"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"ononitol","D-4-O-Methyl-myo-inositol","HMDB0029915",NA,"C06353","CO[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O","1"
"conduritol-beta-epoxide","NA","NA","NA","NA","NA","0"
"pinitol","D-Pinitol","HMDB0034219","0","C03844","CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O","1"
"ciliatine","Ciliatine","HMDB0011747","339","C03557","NCCP(O)(O)=O","1"
"6-deoxygalactofuranose","NA","NA","NA","NA","NA","0"
"lactose","Alpha-Lactose","HMDB0000186","84571","C00243","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O","1"
"2-hydroxyglutaric acid","D-2-Hydroxyglutaric acid","HMDB0000606","439391","C01087","O[C@H](CCC(O)=O)C(O)=O","1"
"cadaverine","Cadaverine","HMDB0002322","273","C01672","NCCCCCN","1"
"1,5-anhydroglucitol","1,5-Anhydrosorbitol","HMDB0002712","64960","C07326","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"sorbitol","Sorbitol","HMDB0000247","5780","C00794","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"homoserine","L-Homoserine","HMDB0000719","12647","C00263","N[C@@H](CCO)C(O)=O","1"
"alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@H](N)C(O)=O","1"
"glycine","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"glucose-6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","C00092","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"fructose-6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","C00085","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"campesterol","Campesterol","HMDB0002869","173183","C01789","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C","1"
"n-epsilon-trimethyllysine","NA","NA","NA","NA","NA","0"
"uridine","Uridine","HMDB0000296","6029","C00299","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"gluconic acid lactone","Gluconolactone","HMDB0000150","7027","C00198","OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"glucosamine","Glucosamine","HMDB0001514","439213","C00329","N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"N-acetylmannosamine","N-Acetylmannosamine","HMDB0001129","11096158","C00645","CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"citrulline","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)NC1=N","1"
"behenic acid","Behenic acid","HMDB0000944","8215","C08281","CCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
